foto,latitud,longitud,predicho,cercano,es_sitio,orden,salida
6659,-13.109428,-76.41437,si,25 y 32,si,1,2
6682,-13.107554,-76.414991,si,101,no,2,2
6694,-13.105883,-76.411705,si,41,no,3,2
6699,-13.105125,-76.410659,si,24,cerámica,4,2
6705,-13.105834,-76.410816,si,58,si,5,2
6741,-13.104314,-76.400646,si,10 (predicho),cerámica,6,2
6756,-13.107165,-76.39612,si,35 (predicho),cerámica,7,2
6763,-13.105926,-76.392768,si,110 (predicho),no,8,2
6774,-13.104251,-76.388565,si,12 (predicho),cerámica,9,2
6789,-13.102225,-76.3886,si,23 (predicho),cerámica,10,2
6794,-13.102421,-76.386398,si,84 (predicho),no,11,2
6807,-13.111084,-76.378324,si,"70, 94 y 119 (predicho)",si,12,2
6812,-13.124852,-76.304501,si,74 (predicho),no,13,2
6830,-13.125264,-76.298424,no,,si,14,2
6839,-13.125752,-76.298443,si,34 (predicho),si,15,2
6863,-13.111265,-76.273153,si,31 (predicho),lítico,16,2
6871,-13.111892,-76.276956,si,"116, 131 y 130 (predicho)",si,17,2
6890,-13.112403,-76.277955,no,,si,18,2
6902,-13.119359,-76.288798,no,,si,19,2
6914,-13.130684,-76.396517,si,140 (predicho),si,20,2
6927,-13.143729,-76.382456,no,,si,21,2
6950,-13.104671,-76.417101,no,,si,22,2
