salida,foto,lat,lon,predicho,cercano_excel,alerta_match,prioridad_o_prob,dist_alerta_m,resultado,categoria
1,4954,-13.104492,-76.419903,si,7,7,Media,1.6,no,alerta_descartada_FP
1,4976,-13.134137,-76.373829,si,49,49,Media,12.6,si,alerta_confirmada
1,4999,-13.133905,-76.376588,si,46,46,Media,43.7,cerámica,alerta_confirmada
1,5014,-13.125411,-76.371957,si,53,53,Media,52.3,aparenta por cantos rodados,alerta_confirmada
1,5032,-13.100122,-76.408521,si,23,23,Media,21.1,cerámica,alerta_confirmada
1,5041,-13.100131,-76.410846,si,20,20,Media,24.0,no,alerta_descartada_FP
1,5047,-13.104626,-76.41302,si,16,16,Media,10.3,no,alerta_descartada_FP
1,5054,-13.104192,-76.410545,si,19,19,Media,42.7,no,alerta_descartada_FP
1,5057,-13.102251,-76.41517,si,14,14,Media,11.2,no,alerta_descartada_FP
2,6659,-13.109428,-76.41437,si,25 y 32,32,0.77,91.6,si,alerta_confirmada
2,6682,-13.107554,-76.414991,si,101,101,0.58,4.4,no,alerta_descartada_FP
2,6694,-13.105883,-76.411705,si,41,41,0.74,12.6,no,alerta_descartada_FP
2,6699,-13.105125,-76.410659,si,24,24,0.79,32.5,cerámica,alerta_confirmada
2,6705,-13.105834,-76.410816,si,58,58,0.67,5.8,si,alerta_confirmada
2,6741,-13.104314,-76.400646,si,10 (predicho),10,0.86,21.5,cerámica,alerta_confirmada
2,6756,-13.107165,-76.39612,si,35 (predicho),35,0.75,8.0,cerámica,alerta_confirmada
2,6763,-13.105926,-76.392768,si,110 (predicho),110,0.56,11.6,no,alerta_descartada_FP
2,6774,-13.104251,-76.388565,si,12 (predicho),12,0.85,37.4,cerámica,alerta_confirmada
2,6789,-13.102225,-76.3886,si,23 (predicho),23,0.8,14.0,cerámica,alerta_confirmada
2,6794,-13.102421,-76.386398,si,84 (predicho),84,0.61,11.7,no,alerta_descartada_FP
2,6807,-13.111084,-76.378324,si,"70, 94 y 119 (predicho)",70,0.64,40.2,si,alerta_confirmada
2,6812,-13.124852,-76.304501,si,74 (predicho),74,0.63,9.1,no,alerta_descartada_FP
2,6830,-13.125264,-76.298424,no,,34,0.76,62.8,si,hallazgo_adyacente
2,6839,-13.125752,-76.298443,si,34 (predicho),34,0.76,8.4,si,alerta_confirmada
2,6863,-13.111265,-76.273153,si,31 (predicho),31,0.77,86.9,lítico,alerta_confirmada
2,6871,-13.111892,-76.276956,si,"116, 131 y 130 (predicho)",130,0.53,21.4,si,alerta_confirmada
2,6890,-13.112403,-76.277955,no,,130,0.53,102.4,si,hallazgo_adyacente
2,6902,-13.119359,-76.288798,no,,85,0.61,635.8,si,sitio_no_alertado_independiente
2,6914,-13.130684,-76.396517,si,140 (predicho),140,0.51,30.7,si,alerta_confirmada
2,6927,-13.143729,-76.382456,no,,138,0.52,204.6,si,sitio_no_alertado_independiente
2,6950,-13.104671,-76.417101,no,,2,0.94,174.6,si,sitio_no_alertado_independiente
